OBSERVER WORLD HISTORY SNAPSHOTS
================================

{'day': 32, 'hour': 0, 'alive': 30, 'dead': 124, 'food': 2519, 'wood': 866, 'stone': 836, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 84, 'deaths_total': 74, 'notifications_total': 100, 'avg_health': 63.93333333333333, 'avg_hunger': 50.6, 'avg_energy': 82.66666666666667, 'food_per_person': 83.96666666666667, 'births_today': 84, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 33, 'hour': 0, 'alive': 30, 'dead': 128, 'food': 2409, 'wood': 882, 'stone': 851, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 88, 'deaths_total': 75, 'notifications_total': 100, 'avg_health': 62.7, 'avg_hunger': 51.0, 'avg_energy': 82.5, 'food_per_person': 80.3, 'births_today': 88, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 34, 'hour': 0, 'alive': 28, 'dead': 132, 'food': 2473, 'wood': 895, 'stone': 847, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 90, 'deaths_total': 76, 'notifications_total': 100, 'avg_health': 61.92857142857143, 'avg_hunger': 50.5, 'avg_energy': 81.53571428571429, 'food_per_person': 88.32142857142857, 'births_today': 90, 'deaths_today': 0, 'growth_rate': -6.666666666666667}
{'day': 35, 'hour': 0, 'alive': 25, 'dead': 136, 'food': 1819, 'wood': 880, 'stone': 838, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 91, 'deaths_total': 77, 'notifications_total': 100, 'avg_health': 64.56, 'avg_hunger': 46.92, 'avg_energy': 93.04, 'food_per_person': 72.76, 'births_today': 91, 'deaths_today': 0, 'growth_rate': -10.714285714285714}
{'day': 36, 'hour': 0, 'alive': 28, 'dead': 136, 'food': 2369, 'wood': 880, 'stone': 850, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 93, 'deaths_total': 77, 'notifications_total': 100, 'avg_health': 58.285714285714285, 'avg_hunger': 49.964285714285715, 'avg_energy': 80.78571428571429, 'food_per_person': 84.60714285714286, 'births_today': 93, 'deaths_today': 0, 'growth_rate': 12.0}
{'day': 37, 'hour': 0, 'alive': 27, 'dead': 139, 'food': 2280, 'wood': 877, 'stone': 825, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 95, 'deaths_total': 77, 'notifications_total': 100, 'avg_health': 57.592592592592595, 'avg_hunger': 44.666666666666664, 'avg_energy': 86.51851851851852, 'food_per_person': 84.44444444444444, 'births_today': 95, 'deaths_today': 0, 'growth_rate': -3.571428571428571}
{'day': 38, 'hour': 0, 'alive': 27, 'dead': 142, 'food': 2088, 'wood': 873, 'stone': 843, 'tension': 72, 'wars': 0, 'technologies': 4, 'births_total': 98, 'deaths_total': 79, 'notifications_total': 100, 'avg_health': 58.925925925925924, 'avg_hunger': 52.629629629629626, 'avg_energy': 82.03703703703704, 'food_per_person': 77.33333333333333, 'births_today': 98, 'deaths_today': 0, 'growth_rate': 0.0}
{'day': 39, 'hour': 0, 'alive': 25, 'dead': 147, 'food': 2044, 'wood': 912, 'stone': 849, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 101, 'deaths_total': 81, 'notifications_total': 100, 'avg_health': 61.96, 'avg_hunger': 50.76, 'avg_energy': 87.12, 'food_per_person': 81.76, 'births_today': 101, 'deaths_today': 0, 'growth_rate': -7.4074074074074066}
{'day': 40, 'hour': 0, 'alive': 26, 'dead': 149, 'food': 1766, 'wood': 863, 'stone': 825, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 104, 'deaths_total': 82, 'notifications_total': 100, 'avg_health': 61.42307692307692, 'avg_hunger': 51.76923076923077, 'avg_energy': 84.57692307692308, 'food_per_person': 67.92307692307692, 'births_today': 104, 'deaths_today': 0, 'growth_rate': 4.0}
{'day': 41, 'hour': 0, 'alive': 24, 'dead': 153, 'food': 1973, 'wood': 887, 'stone': 842, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 102, 'deaths_total': 82, 'notifications_total': 100, 'avg_health': 62.791666666666664, 'avg_hunger': 47.333333333333336, 'avg_energy': 89.5, 'food_per_person': 82.20833333333333, 'births_today': 102, 'deaths_today': 0, 'growth_rate': -7.6923076923076925}
{'day': 42, 'hour': 0, 'alive': 23, 'dead': 156, 'food': 2493, 'wood': 841, 'stone': 830, 'tension': 69, 'wars': 0, 'technologies': 4, 'births_total': 104, 'deaths_total': 83, 'notifications_total': 100, 'avg_health': 68.73913043478261, 'avg_hunger': 43.08695652173913, 'avg_energy': 87.30434782608695, 'food_per_person': 108.3913043478261, 'births_today': 104, 'deaths_today': 0, 'growth_rate': -4.166666666666666}
{'day': 43, 'hour': 0, 'alive': 23, 'dead': 158, 'food': 2234, 'wood': 847, 'stone': 831, 'tension': 75, 'wars': 0, 'technologies': 4, 'births_total': 106, 'deaths_total': 83, 'notifications_total': 100, 'avg_health': 70.82608695652173, 'avg_hunger': 49.608695652173914, 'avg_energy': 86.56521739130434, 'food_per_person': 97.1304347826087, 'births_today': 106, 'deaths_today': 0, 'growth_rate': 0.0}
