agent,other,trust,friendship,respect,fear
Kairen,Arina,0,0,0,0
Kairen,Kaimi,0,0,0,0
Kairen,Mirana,0,0,0,0
Kairen,Mirako,0,0,0,0
Kairen,Senana,0,0,0,0
Kairen,Senara,1,0,0,0
Arira,Mira,4,0,1,0
Arira,Kai,0,0,0,0
Arira,Niko,3,0,0,0
Arira,Aria,0,0,0,0
Arira,Nova,0,0,0,0
Arira,Eli,3,4,0,0
Arira,Zane,1,0,0,0
Arira,Liona,0,0,0,0
Arira,Daren,3,0,0,0
Arira,Lena,2,0,3,0
Arira,Rook,1,0,0,0
Arira,Kairen,0,0,0,0
Arira,Ramiel,0,0,0,0
Arira,Ramimi,0,0,0,0
Arira,Eliel,0,0,0,0
Arira,Elina,0,0,0,0
Arira,Elian,0,0,0,0
Arira,Mirara,0,0,0,0
Arira,Arimi,0,0,0,0
Arira,Ramira,0,0,0,0
Arira,Ramian,0,0,0,0
Arira,Ramiko,0,0,0,0
Arira,Arina,0,0,0,0
Arira,Kaimi,0,0,0,0
Arira,Mirana,0,0,0,0
Arira,Mirako,0,0,0,0
Arira,Senana,0,0,0,0
Senami,Kai,0,0,1,0
Senami,Lena,6,2,3,0
Senami,Niko,0,0,0,0
Senami,Aria,0,0,0,0
Senami,Daren,1,0,2,0
Senami,Nova,6,0,0,0
Senami,Zane,4,0,0,0
Senami,Liona,0,0,0,0
Senami,Arira,0,0,0,0
Senami,Mira,0,2,0,0
Senami,Rook,19,22,3,0
Senami,Eli,0,8,0,0
Senami,Kairen,0,1,0,0
Senami,Arian,1,0,0,0
Senami,Ramiel,0,0,0,0
Senami,Miraan,1,0,0,0
Senami,Ramimi,0,0,0,0
Senami,Eliel,0,0,0,0
Senami,Elina,0,0,0,0
Senami,Elian,0,0,0,0
Senami,Mirara,0,0,0,0
Senami,Arimi,0,0,0,0
Senami,Ramira,0,0,0,0
Senami,Ramian,0,0,0,0
Senami,Ramiko,0,0,0,0
Senami,Arina,1,0,0,0
Senami,Kaimi,0,0,0,0
Senami,Kaina,1,0,0,0
Senami,Mirana,0,0,0,0
Senami,Mirako,0,0,0,0
Senami,Senana,0,0,0,0
Arian,Mira,0,0,0,0
Arian,Kai,0,0,0,0
Arian,Niko,0,0,0,0
Arian,Aria,0,0,0,0
Arian,Daren,1,0,0,0
Arian,Eli,0,0,0,0
Arian,Zane,0,0,0,0
Arian,Liona,0,0,0,0
Arian,Arira,0,0,0,0
Arian,Lena,9,13,3,0
Arian,Rook,9,4,3,0
Arian,Senami,0,1,0,0
Arian,Nova,1,7,1,0
Arian,Noraan,-1,2,1,0
Arian,Kairen,0,0,0,0
Arian,Ramiel,0,0,0,0
Arian,Mirako,1,0,0,0
Arian,Ramimi,0,0,0,0
Arian,Eliel,0,0,0,0
Arian,Elina,0,0,0,0
Arian,Elian,0,0,0,0
Arian,Mirara,0,0,0,0
Arian,Arimi,0,0,0,0
Arian,Ramira,0,0,0,0
Arian,Ramina,1,0,0,0
Arian,Ramian,0,0,0,0
Arian,Ramiko,0,0,0,0
Arian,Arina,0,0,0,0
Arian,Kaimi,0,0,0,0
Arian,Mirana,0,0,0,0
Arian,Senana,0,0,0,0
Noraan,Mira,0,2,1,0
Noraan,Kai,0,0,1,0
Noraan,Niko,0,0,0,0
Noraan,Aria,0,0,0,0
Noraan,Daren,0,0,0,0
Noraan,Eli,0,0,0,0
Noraan,Zane,2,0,0,0
Noraan,Liona,0,0,0,0
Noraan,Arira,0,0,0,0
Noraan,Lena,13,6,4,0
Noraan,Rook,8,0,2,0
Noraan,Nova,2,0,2,0
Noraan,Arian,-1,2,1,0
Noraan,Kairen,1,1,0,0
Noraan,Miraan,1,0,1,0
Noraan,Ramiel,0,0,0,0
Noraan,Ramimi,0,0,0,0
Noraan,Eliel,0,0,0,0
Noraan,Elina,0,0,0,0
Noraan,Elian,0,0,0,0
Noraan,Mirara,0,0,0,0
Noraan,Arimi,0,0,0,0
Noraan,Ramira,0,0,0,0
Noraan,Ramian,0,0,0,0
Noraan,Ramiko,0,0,0,0
Noraan,Arina,0,0,0,0
Noraan,Kaimi,0,0,0,0
Noraan,Mirana,0,0,0,0
Noraan,Mirako,0,0,0,0
Noraan,Senana,0,0,0,0
Miraan,Mira,0,0,1,0
Miraan,Kai,0,0,1,0
Miraan,Niko,0,0,0,0
Miraan,Aria,0,0,0,0
Miraan,Daren,1,0,0,0
Miraan,Eli,0,0,0,0
Miraan,Zane,2,0,0,0
Miraan,Liona,0,0,0,0
Miraan,Arira,0,0,0,0
Miraan,Rook,1,2,0,0
Miraan,Nova,8,5,3,0
Miraan,Lena,1,3,2,0
Miraan,Noraan,0,0,1,0
Miraan,Kairen,0,0,0,0
Miraan,Ramiel,0,0,0,0
Miraan,Ramimi,0,0,0,0
Miraan,Eliel,0,0,0,0
Miraan,Elina,0,0,0,0
Miraan,Elian,0,0,0,0
Miraan,Mirara,0,0,0,0
Miraan,Arimi,0,0,0,0
Miraan,Ramira,0,0,0,0
Miraan,Ramian,0,0,0,0
Miraan,Ramiko,0,0,0,0
Miraan,Arina,0,0,0,0
Miraan,Kaimi,0,0,0,0
Miraan,Senaren,1,0,0,0
Miraan,Mirana,0,0,0,0
Miraan,Mirako,0,0,0,0
Miraan,Senana,0,0,0,0
Norako,Mira,0,0,0,0
Norako,Kai,0,0,0,0
Norako,Rook,0,0,0,0
Norako,Niko,0,0,0,0
Norako,Aria,0,0,0,0
Norako,Eli,1,0,0,0
Norako,Zane,1,0,0,0
Norako,Liona,0,0,0,0
Norako,Arira,0,0,0,0
Norako,Lena,2,4,2,0
Norako,Daren,9,3,3,0
Norako,Kairen,0,0,0,0
Norako,Nova,2,2,1,0
Norako,Ramina,0,0,1,0
Norako,Ramiel,0,0,0,0
Norako,Ramimi,0,0,0,0
Norako,Eliel,0,0,0,0
Norako,Elina,0,0,0,0
Norako,Elian,0,0,0,0
Norako,Mirara,0,0,0,0
Norako,Arimi,0,0,0,0
Norako,Eliko,1,0,0,0
Norako,Ramira,0,0,0,0
